"subject","campus[Alpha Roster for Cross Joins]","alphalevelshort","Daily XP Goal","Avg XP Earned / Student / School Day"
"FastMath","Alpha Anywhere Center","L1",10,10.4777
"FastMath","Alpha Anywhere Center","L2",10,7.4742
"FastMath","Alpha Anywhere Center","LL",10,6.7475
"FastMath","Alpha Anywhere Center","MS",10,8.35
"FastMath","Alpha High School","HS",10,0
"FastMath","Alpha School Austin","L1",10,6.3623
"FastMath","Alpha School Austin","L2",10,3.01
"FastMath","Alpha School Austin","LL",10,10.9867
"FastMath","Alpha School Austin","MS",10,1.1016
"FastMath","Alpha School Austin","WL",10,2.59
"FastMath","Alpha School Brownsville","L1",10,9.31
"FastMath","Alpha School Brownsville","L2",10,10.0942
"FastMath","Alpha School Brownsville","LL",10,7.7975
"FastMath","Alpha School Brownsville","MS",10,7.658
"FastMath","Alpha School Brownsville","WL",10,12.13
"FastMath","Alpha School Chantilly","L1",10,12.3333
"FastMath","Alpha School Chantilly","MS",10,6.22
"FastMath","Alpha School Fort Worth","L1",10,9.77
"FastMath","Alpha School Fort Worth","L2",10,8.045
"FastMath","Alpha School Fort Worth","LL",10,5.59
"FastMath","Alpha School Lake Forest","L1",10,14.8483
"FastMath","Alpha School Lake Forest","L2",10,16.8533
"FastMath","Alpha School Lake Forest","LL",10,10.4633
"FastMath","Alpha School Miami","HS",10,0
"FastMath","Alpha School Miami","L1",10,7.9515
"FastMath","Alpha School Miami","L2",10,4.6753
"FastMath","Alpha School Miami","LL",10,12.8637
"FastMath","Alpha School Miami","MS",10,2.7592
"FastMath","Alpha School Palm Beach","L1",10,6.775
"FastMath","Alpha School Palm Beach","L2",10,9.51
"FastMath","Alpha School Palm Beach","LL",10,11.25
"FastMath","Alpha School Plano","L1",10,12.315
"FastMath","Alpha School Plano","L2",10,11.97
"FastMath","Alpha School Plano","LL",10,14.95
"FastMath","Alpha School Plano","WL",10,12
"FastMath","Alpha School San Francisco","L1",10,15.4175
"FastMath","Alpha School San Francisco","LL",10,10.78
"FastMath","Alpha School San Francisco","MS",10,4.6166
"FastMath","Alpha School Santa Barbara","L2",10,3.8133
"FastMath","Alpha School Santa Barbara","MS",10,13.18
"FastMath","Alpha School Scottsdale","L1",10,11.0416
"FastMath","Alpha School Scottsdale","L2",10,6.5841
"FastMath","Alpha School Scottsdale","LL",10,10.7333
"FastMath","Alpha School Scottsdale","MS",10,7.8375
"FastMath","Alpha School Tampa","LL",10,0
"FastMath","GT School","L1",10,3.8985
"FastMath","GT School","L2",10,15.0066
"FastMath","GT School","LL",10,10.8225
"FastMath","GT School","MS",10,0
"FastMath","Montessorium Cedar Park","L1",10,9.2916
"FastMath","Montessorium Cedar Park","L2",10,0
"FastMath","Montessorium Cedar Park","LL",10,5.2788
