"subject","campus[Alpha Roster for Cross Joins]","alphalevelshort","Daily Goal","# Meeting XP Goals","# Not Meeting XP Goals","% Meeting XP Goals"
"FastMath","Alpha Anywhere Center","L1",10,5,4,0.5555555555555556
"FastMath","Alpha Anywhere Center","L2",10,3,4,0.42857142857142855
"FastMath","Alpha Anywhere Center","LL",10,1,3,0.25
"FastMath","Alpha Anywhere Center","MS",10,1,1,0.5
"FastMath","Alpha High School","HS",10,0,5,0
"FastMath","Alpha School Austin","L1",10,10,16,0.38461538461538464
"FastMath","Alpha School Austin","L2",10,4,12,0.25
"FastMath","Alpha School Austin","LL",10,19,12,0.6129032258064516
"FastMath","Alpha School Austin","MS",10,1,11,0.08333333333333333
"FastMath","Alpha School Austin","WL",10,0,12,0
"FastMath","Alpha School Brownsville","L1",10,8,5,0.6153846153846154
"FastMath","Alpha School Brownsville","L2",10,5,2,0.7142857142857143
"FastMath","Alpha School Brownsville","LL",10,6,6,0.5
"FastMath","Alpha School Brownsville","MS",10,1,4,0.2
"FastMath","Alpha School Brownsville","WL",10,2,1,0.6666666666666666
"FastMath","Alpha School Chantilly","L1",10,3,0,1
"FastMath","Alpha School Chantilly","MS",10,0,1,0
"FastMath","Alpha School Fort Worth","L1",10,0,1,0
"FastMath","Alpha School Fort Worth","L2",10,1,1,0.5
"FastMath","Alpha School Fort Worth","LL",10,2,2,0.5
"FastMath","Alpha School Lake Forest","L1",10,6,0,1
"FastMath","Alpha School Lake Forest","L2",10,3,0,1
"FastMath","Alpha School Lake Forest","LL",10,2,1,0.6666666666666666
"FastMath","Alpha School Miami","HS",10,0,2,0
"FastMath","Alpha School Miami","L1",10,4,9,0.3076923076923077
"FastMath","Alpha School Miami","L2",10,2,11,0.15384615384615385
"FastMath","Alpha School Miami","LL",10,7,1,0.875
"FastMath","Alpha School Miami","MS",10,3,10,0.23076923076923078
"FastMath","Alpha School Palm Beach","L1",10,1,1,0.5
"FastMath","Alpha School Palm Beach","L2",10,0,1,0
"FastMath","Alpha School Palm Beach","LL",10,3,0,1
"FastMath","Alpha School Plano","L1",10,2,0,1
"FastMath","Alpha School Plano","L2",10,1,0,1
"FastMath","Alpha School Plano","LL",10,2,1,0.6666666666666666
"FastMath","Alpha School Plano","WL",10,1,0,1
"FastMath","Alpha School San Francisco","L1",10,3,1,0.75
"FastMath","Alpha School San Francisco","LL",10,2,2,0.5
"FastMath","Alpha School San Francisco","MS",10,1,2,0.3333333333333333
"FastMath","Alpha School Santa Barbara","L2",10,1,2,0.3333333333333333
"FastMath","Alpha School Santa Barbara","MS",10,3,0,1
"FastMath","Alpha School Scottsdale","L1",10,3,3,0.5
"FastMath","Alpha School Scottsdale","L2",10,4,8,0.3333333333333333
"FastMath","Alpha School Scottsdale","LL",10,4,2,0.6666666666666666
"FastMath","Alpha School Scottsdale","MS",10,2,2,0.5
"FastMath","Alpha School Tampa","LL",10,0,1,0
"FastMath","GT School","L1",10,2,5,0.2857142857142857
"FastMath","GT School","L2",10,3,0,1
"FastMath","GT School","LL",10,3,1,0.75
"FastMath","GT School","MS",10,0,1,0
"FastMath","Montessorium Cedar Park","L1",10,4,2,0.6666666666666666
"FastMath","Montessorium Cedar Park","L2",10,0,1,0
"FastMath","Montessorium Cedar Park","LL",10,3,6,0.3333333333333333
"FastMath","Montessorium Cedar Park","MS",10,0,1,0
"FastMath","NextGen Academy","L1",10,0,2,0
"FastMath","NextGen Academy","L2",10,2,2,0.5
"FastMath","Nova Academy Austin","L1",10,7,4,0.6363636363636364
"FastMath","Nova Academy Austin","L2",10,1,1,0.5
"FastMath","Nova Academy Austin","LL",10,0,3,0
"FastMath","Nova Academy Austin","MS",10,2,0,1
"FastMath","Nova Academy Bastrop","L1",10,1,5,0.16666666666666666
"FastMath","Nova Academy Bastrop","L2",10,0,3,0
"FastMath","Nova Academy Bastrop","LL",10,0,2,0
"FastMath","Nova Academy Bastrop","MS",10,0,1,0
"FastMath","ScienceSIS","L1",10,0,16,0
"FastMath","ScienceSIS","L2",10,0,17,0
"FastMath","ScienceSIS","MS",10,0,5,0
"FastMath","Strata","HS",10,5,6,0.45454545454545453
"FastMath","Strata","L1",10,3,0,1
"FastMath","Strata","L2",10,11,4,0.7333333333333333
"FastMath","Strata","MS",10,23,24,0.48936170212765956
"FastMath","Texas Sports Academy","L1",10,5,2,0.7142857142857143
"FastMath","Texas Sports Academy","L2",10,1,9,0.1
"FastMath","Texas Sports Academy","LL",10,5,2,0.7142857142857143
"FastMath","Texas Sports Academy","MS",10,0,5,0
"FastMath","Waypoint Academy","L1",10,0,1,0
"Language","Alpha Anywhere Center","L1",25,4,5,0.4444444444444444
"Language","Alpha Anywhere Center","L2",25,3,4,0.42857142857142855
"Language","Alpha Anywhere Center","LL",25,3,0,1
"Language","Alpha Anywhere Center","MS",25,3,4,0.42857142857142855
"Language","Alpha High School","HS",25,6,33,0.15384615384615385
"Language","Alpha School Austin","L1",25,13,16,0.4482758620689655
"Language","Alpha School Austin","L2",25,9,25,0.2647058823529412
