"subject","campus[Alpha Roster for Cross Joins]","alphalevelshort","years_w_2hr","knowledge_age_grade_diff (AVG)"
"Language","Alpha Anywhere Center","L1","1 year or less",0.7777
"Language","Alpha Anywhere Center","L2","1 year or less",0.1428
"Language","Alpha Anywhere Center","LL","1 year or less",1
"Language","Alpha Anywhere Center","MS","1 year or less",-0.8571
"Language","Alpha High School","HS","3+ years",-1
"Language","Alpha High School","HS","2-3 years",1
"Language","Alpha High School","HS","1-2 years",-0.3333
"Language","Alpha High School","HS","1 year or less",-1.2666
"Language","Alpha School Austin","L1","3+ years",0.6666
"Language","Alpha School Austin","L1","2-3 years",1.3333
"Language","Alpha School Austin","L1","1-2 years",1.125
"Language","Alpha School Austin","L1","1 year or less",0.0833
"Language","Alpha School Austin","L2","3+ years",2
"Language","Alpha School Austin","L2","2-3 years",1
"Language","Alpha School Austin","L2","1-2 years",0.5714
"Language","Alpha School Austin","L2","1 year or less",0.6428
"Language","Alpha School Austin","LL","1-2 years",1
"Language","Alpha School Austin","LL","1 year or less",0.7222
"Language","Alpha School Austin","MS","3+ years",1.6428
"Language","Alpha School Austin","MS","1-2 years",0.4615
"Language","Alpha School Austin","MS","1 year or less",-1.6666
"Language","Alpha School Austin","WL","1 year or less",1
"Language","Alpha School Brownsville","L1","3+ years",0
"Language","Alpha School Brownsville","L1","2-3 years",1.5
"Language","Alpha School Brownsville","L1","1-2 years",1.2857
"Language","Alpha School Brownsville","L1","1 year or less",-0.5
"Language","Alpha School Brownsville","L2","3+ years",0
"Language","Alpha School Brownsville","L2","2-3 years",2
"Language","Alpha School Brownsville","L2","1-2 years",1
"Language","Alpha School Brownsville","L2","1 year or less",0
"Language","Alpha School Brownsville","LL","2-3 years",0.6666
"Language","Alpha School Brownsville","LL","1-2 years",1.1111
"Language","Alpha School Brownsville","MS","2-3 years",1
"Language","Alpha School Brownsville","MS","1-2 years",-1.5
"Language","Alpha School Brownsville","MS","1 year or less",0
"Language","Alpha School Brownsville","WL","1-2 years",2
"Language","Alpha School Brownsville","WL","1 year or less",2
"Language","Alpha School Chantilly","L1","1 year or less",0.3333
"Language","Alpha School Chantilly","MS","1 year or less",-2
"Language","Alpha School Fort Worth","L1","1 year or less",0
"Language","Alpha School Fort Worth","L2","1 year or less",0.5
"Language","Alpha School Fort Worth","LL","1 year or less",0.75
"Language","Alpha School Fort Worth","MS","1 year or less",0
"Language","Alpha School Lake Forest","L1","1 year or less",0.1666
"Language","Alpha School Lake Forest","L2","1 year or less",-1
"Language","Alpha School Lake Forest","LL","1 year or less",-0.6666
"Language","Alpha School Miami","HS","1-2 years",0
"Language","Alpha School Miami","HS","1 year or less",-0.375
"Language","Alpha School Miami","L1","1-2 years",0
"Language","Alpha School Miami","L1","1 year or less",0.1818
"Language","Alpha School Miami","L2","1-2 years",0
"Language","Alpha School Miami","L2","1 year or less",-0.3333
"Language","Alpha School Miami","LL","1-2 years",0
"Language","Alpha School Miami","LL","1 year or less",0.3333
"Language","Alpha School Miami","MS","1-2 years",0.3333
"Language","Alpha School Miami","MS","1 year or less",-0.9444
"Language","Alpha School Palm Beach","L1","1 year or less",1.5
"Language","Alpha School Palm Beach","L2","1 year or less",0
"Language","Alpha School Palm Beach","LL","1 year or less",1.6666
"Language","Alpha School Plano","L1","1 year or less",-0.5
"Language","Alpha School Plano","L2","1 year or less",-2
"Language","Alpha School Plano","LL","1 year or less",0.6666
"Language","Alpha School Plano","WL","1 year or less",1
"Language","Alpha School San Francisco","HS","1 year or less",-2
"Language","Alpha School San Francisco","L1","1 year or less",0.2
"Language","Alpha School San Francisco","L2","1 year or less",2
"Language","Alpha School San Francisco","LL","1 year or less",1
"Language","Alpha School San Francisco","MS","1 year or less",-2.1428
"Language","Alpha School Santa Barbara","HS","1 year or less",-3
"Language","Alpha School Santa Barbara","L2","1 year or less",0
"Language","Alpha School Santa Barbara","MS","1 year or less",-1.2857
"Language","Alpha School Scottsdale","L1","1 year or less",0
"Language","Alpha School Scottsdale","L2","1 year or less",-0.6923
"Language","Alpha School Scottsdale","LL","1 year or less",0.2857
"Language","Alpha School Scottsdale","MS","1 year or less",-1
"Language","GT School","HS","1-2 years",4
"Language","GT School","L1","1-2 years",1.3333
"Language","GT School","L1","1 year or less",1
"Language","GT School","L2","3+ years",4
"Language","GT School","L2","1-2 years",1
"Language","GT School","L2","1 year or less",0.75
"Language","GT School","LL","1 year or less",1.5
"Language","GT School","MS","1-2 years",1.5
"Language","GT School","MS","1 year or less",0
"Language","Montessorium Cedar Park","L1","1 year or less",0.1666
"Language","Montessorium Cedar Park","L2","1 year or less",-1
"Language","Montessorium Cedar Park","LL","1 year or less",0.6666
"Language","Montessorium Cedar Park","MS","1 year or less",-3
"Language","NextGen Academy","L1","1 year or less",-0.3333
"Language","NextGen Academy","L2","1 year or less",-0.4
"Language","NextGen Academy","MS","1-2 years",-0.5
"Language","Nova Academy Austin","L1","1-2 years",-0.7142
"Language","Nova Academy Austin","L1","1 year or less",-1
"Language","Nova Academy Austin","L2","1-2 years",-1.5
"Language","Nova Academy Austin","LL","1 year or less",0
"Language","Nova Academy Austin","MS","1-2 years",-3
"Language","Nova Academy Bastrop","L1","1 year or less",0.5
"Language","Nova Academy Bastrop","L2","1 year or less",-0.75
"Language","Nova Academy Bastrop","LL","1 year or less",1.5
"Language","Nova Academy Bastrop","MS","1 year or less",-1.6666
"Language","Texas Sports Academy","L1","3+ years",2
"Language","Texas Sports Academy","L1","1-2 years",0.6666
"Language","Texas Sports Academy","L1","1 year or less",0.6666
"Language","Texas Sports Academy","L2","1-2 years",0.6666
"Language","Texas Sports Academy","L2","1 year or less",-1
"Language","Texas Sports Academy","LL","1 year or less",0.7142
"Language","Texas Sports Academy","MS","1-2 years",-4
"Language","Texas Sports Academy","MS","1 year or less",-1.25
"Math","Alpha Anywhere Center","L1","1 year or less",1
"Math","Alpha Anywhere Center","L2","1 year or less",0.2857
"Math","Alpha Anywhere Center","LL","1 year or less",0.75
"Math","Alpha Anywhere Center","MS","1 year or less",-1.5714
"Math","Alpha High School","HS","3+ years",-0.5454
"Math","Alpha High School","HS","2-3 years",-1
"Math","Alpha High School","HS","1-2 years",-0.4285
"Math","Alpha High School","HS","1 year or less",-1.25
"Math","Alpha School Austin","L1","3+ years",1.3333
"Math","Alpha School Austin","L1","2-3 years",1.1666
"Math","Alpha School Austin","L1","1-2 years",0.8888
"Math","Alpha School Austin","L1","1 year or less",0.4166
"Math","Alpha School Austin","L2","3+ years",0.8
"Math","Alpha School Austin","L2","2-3 years",0
"Math","Alpha School Austin","L2","1-2 years",0
"Math","Alpha School Austin","L2","1 year or less",0.0714
"Math","Alpha School Austin","LL","1-2 years",1.25
"Math","Alpha School Austin","LL","1 year or less",0.7368
"Math","Alpha School Austin","MS","3+ years",0.7142
"Math","Alpha School Austin","MS","1-2 years",-0.6923
"Math","Alpha School Austin","MS","1 year or less",-1.3809
"Math","Alpha School Austin","WL","1 year or less",1
"Math","Alpha School Brownsville","L1","3+ years",0
"Math","Alpha School Brownsville","L1","2-3 years",1.5
"Math","Alpha School Brownsville","L1","1-2 years",1.1428
"Math","Alpha School Brownsville","L1","1 year or less",0
"Math","Alpha School Brownsville","L2","3+ years",0
"Math","Alpha School Brownsville","L2","2-3 years",-0.5
"Math","Alpha School Brownsville","L2","1-2 years",-0.5
"Math","Alpha School Brownsville","L2","1 year or less",-0.5
"Math","Alpha School Brownsville","LL","2-3 years",1.6666
"Math","Alpha School Brownsville","LL","1-2 years",1.2222
"Math","Alpha School Brownsville","MS","2-3 years",-0.6
"Math","Alpha School Brownsville","MS","1-2 years",-2
"Math","Alpha School Brownsville","MS","1 year or less",-2
"Math","Alpha School Brownsville","WL","1-2 years",2
"Math","Alpha School Brownsville","WL","1 year or less",1
"Math","Alpha School Chantilly","L1","1 year or less",0.6666
"Math","Alpha School Chantilly","MS","1 year or less",-2
"Math","Alpha School Fort Worth","L1","1 year or less",1
"Math","Alpha School Fort Worth","L2","1 year or less",0
"Math","Alpha School Fort Worth","LL","1 year or less",1
"Math","Alpha School Fort Worth","MS","1 year or less",-3
"Math","Alpha School Lake Forest","L1","1 year or less",-0.3333
"Math","Alpha School Lake Forest","L2","1 year or less",-1.3333
"Math","Alpha School Lake Forest","LL","1 year or less",1
"Math","Alpha School Miami","HS","1-2 years",0
"Math","Alpha School Miami","HS","1 year or less",-0.75
"Math","Alpha School Miami","L1","1-2 years",0
"Math","Alpha School Miami","L1","1 year or less",0
"Math","Alpha School Miami","L2","1-2 years",0
"Math","Alpha School Miami","L2","1 year or less",-0.5333
"Math","Alpha School Miami","LL","1-2 years",1
"Math","Alpha School Miami","LL","1 year or less",1
"Math","Alpha School Miami","MS","1-2 years",-1
"Math","Alpha School Miami","MS","1 year or less",-1.5
