"subject","campus[Alpha Roster for Cross Joins]","alphalevelshort","Daily XP Goal","Avg XP Earned / Student / School Day"
"FastMath","Alpha Anywhere Center","L1",10,9.8393
"FastMath","Alpha Anywhere Center","L2",10,7.572
"FastMath","Alpha Anywhere Center","LL",10,6.8433
"FastMath","Alpha Anywhere Center","MS",10,11.2444
"FastMath","Alpha High School","HS",10,0.68
"FastMath","Alpha School Austin","L1",10,11.0521
"FastMath","Alpha School Austin","L2",10,8.3711
"FastMath","Alpha School Austin","LL",10,6.0635
"FastMath","Alpha School Austin","MS",10,6.1386
"FastMath","Alpha School Austin","WL",10,5.2564
"FastMath","Alpha School Brownsville","L1",10,8.136
"FastMath","Alpha School Brownsville","L2",10,10.7869
"FastMath","Alpha School Brownsville","LL",10,9.5734
"FastMath","Alpha School Brownsville","MS",10,7.8162
"FastMath","Alpha School Brownsville","WL",10,7.7122
"FastMath","Alpha School Chantilly","L1",10,12.9403
"FastMath","Alpha School Chantilly","MS",10,10.9889
"FastMath","Alpha School Fort Worth","L1",10,11.5463
"FastMath","Alpha School Fort Worth","L2",10,13.8415
"FastMath","Alpha School Fort Worth","LL",10,7.986
"FastMath","Alpha School Lake Forest","L1",10,11.6789
"FastMath","Alpha School Lake Forest","L2",10,12.0915
"FastMath","Alpha School Lake Forest","LL",10,6.8182
"FastMath","Alpha School Miami","HS",10,0
"FastMath","Alpha School Miami","L1",10,10.9825
"FastMath","Alpha School Miami","L2",10,7.269
"FastMath","Alpha School Miami","LL",10,13.2596
"FastMath","Alpha School Miami","MS",10,5.7171
"FastMath","Alpha School Palm Beach","L1",10,11.6807
"FastMath","Alpha School Palm Beach","L2",10,9.6416
"FastMath","Alpha School Palm Beach","LL",10,9.8598
"FastMath","Alpha School Plano","L1",10,13.9047
"FastMath","Alpha School Plano","L2",10,9.4416
"FastMath","Alpha School Plano","LL",10,11.7386
"FastMath","Alpha School Plano","WL",10,6.6768
"FastMath","Alpha School San Francisco","L1",10,7.6779
"FastMath","Alpha School San Francisco","LL",10,16.0606
"FastMath","Alpha School San Francisco","MS",10,3.8161
"FastMath","Alpha School Santa Barbara","L2",10,11.3008
"FastMath","Alpha School Santa Barbara","MS",10,11.765
"FastMath","Alpha School Scottsdale","L1",10,15.8123
"FastMath","Alpha School Scottsdale","L2",10,15.2388
"FastMath","Alpha School Scottsdale","LL",10,11.5863
"FastMath","Alpha School Scottsdale","MS",10,13.7175
"FastMath","Alpha School Tampa","LL",10,0
"FastMath","GT School","L1",10,9.6224
"FastMath","GT School","L2",10,8.9198
"FastMath","GT School","LL",10,12.2492
"FastMath","GT School","MS",10,5.1732
"FastMath","Montessorium Cedar Park","L1",10,8.37
"FastMath","Montessorium Cedar Park","L2",10,8.7537
"FastMath","Montessorium Cedar Park","LL",10,5.5042
"FastMath","Montessorium Cedar Park","MS",10,9.2863
"FastMath","NextGen Academy","L1",10,5.951
"FastMath","NextGen Academy","L2",10,6.4493
"FastMath","Nova Academy Austin","L1",10,16.7306
"FastMath","Nova Academy Austin","L2",10,9.2847
"FastMath","Nova Academy Austin","LL",10,7.3223
"FastMath","Nova Academy Austin","MS",10,10.3476
"FastMath","Nova Academy Bastrop","L1",10,8.2206
"FastMath","Nova Academy Bastrop","L2",10,9.1782
"FastMath","Nova Academy Bastrop","LL",10,5.7137
"FastMath","Nova Academy Bastrop","MS",10,10.8716
"FastMath","ScienceSIS","L1",10,2.6782
"FastMath","ScienceSIS","L2",10,1.5283
"FastMath","ScienceSIS","MS",10,0.3107
"FastMath","Strata","HS",10,6.5679
"FastMath","Strata","L1",10,16.6244
"FastMath","Strata","L2",10,9.5819
"FastMath","Strata","MS",10,5.8392
"FastMath","Texas Sports Academy","L1",10,9.405
"FastMath","Texas Sports Academy","L2",10,8.3023
"FastMath","Texas Sports Academy","LL",10,9.67
"FastMath","Texas Sports Academy","MS",10,7.5444
"FastMath","Waypoint Academy","L1",10,8.8663
"Language","Alpha Anywhere Center","L1",25,33.0935
"Language","Alpha Anywhere Center","L2",25,23.9361
"Language","Alpha Anywhere Center","LL",25,39.807
"Language","Alpha Anywhere Center","MS",25,34.6917
"Language","Alpha High School","HS",25,16.5229
"Language","Alpha School Austin","L1",25,30.4137
"Language","Alpha School Austin","L2",25,25.1547
"Language","Alpha School Austin","LL",25,37.8838
"Language","Alpha School Austin","MS",25,19.7756
"Language","Alpha School Austin","WL",25,16.1263
"Language","Alpha School Brownsville","L1",25,26.8859
"Language","Alpha School Brownsville","L2",25,23.9481
"Language","Alpha School Brownsville","LL",25,41.5438
"Language","Alpha School Brownsville","MS",25,25.4671
"Language","Alpha School Brownsville","WL",25,41.0526
"Language","Alpha School Chantilly","L1",25,29
"Language","Alpha School Chantilly","MS",25,15.8421
"Language","Alpha School Fort Worth","L1",25,59.5263
"Language","Alpha School Fort Worth","L2",25,27.7368
"Language","Alpha School Fort Worth","LL",25,49.921
"Language","Alpha School Fort Worth","MS",25,54.3684
"Language","Alpha School Lake Forest","L1",25,46.9912
"Language","Alpha School Lake Forest","L2",25,49.0701
"Language","Alpha School Lake Forest","LL",25,22.9824
"Language","Alpha School Miami","HS",25,24.2982
"Language","Alpha School Miami","L1",25,34.7125
"Language","Alpha School Miami","L2",25,35.7138
"Language","Alpha School Miami","LL",25,52.7763
"Language","Alpha School Miami","MS",25,26.708
"Language","Alpha School Palm Beach","L1",25,35.0789
"Language","Alpha School Palm Beach","L2",25,31.6842
"Language","Alpha School Palm Beach","LL",25,48.4035
"Language","Alpha School Plano","L1",25,50.2894
"Language","Alpha School Plano","L2",25,67.0526
"Language","Alpha School Plano","LL",25,56.5263
"Language","Alpha School Plano","WL",25,39.6316
"Language","Alpha School San Francisco","HS",25,25.7895
"Language","Alpha School San Francisco","L1",25,24.4421
"Language","Alpha School San Francisco","L2",25,33.5263
"Language","Alpha School San Francisco","LL",25,48.5263
"Language","Alpha School San Francisco","MS",25,30.0225
"Language","Alpha School Santa Barbara","HS",25,47.5789
"Language","Alpha School Santa Barbara","L2",25,38.2631
"Language","Alpha School Santa Barbara","MS",25,40.0526
"Language","Alpha School Scottsdale","L1",25,36.3421
"Language","Alpha School Scottsdale","L2",25,44.757
"Language","Alpha School Scottsdale","LL",25,47.4586
"Language","Alpha School Scottsdale","MS",25,29.0421
"Language","GT School","HS",25,36.5789
"Language","GT School","L1",25,19.5263
"Language","GT School","L2",25,26.6666
"Language","GT School","LL",25,35.5131
"Language","GT School","MS",25,19.3333
"Language","Montessorium Cedar Park","L1",25,26.1491
"Language","Montessorium Cedar Park","L2",25,11.6842
"Language","Montessorium Cedar Park","LL",25,29.9473
"Language","Montessorium Cedar Park","MS",25,20.3158
"Language","NextGen Academy","L1",25,39.9298
"Language","NextGen Academy","L2",25,26.7894
"Language","NextGen Academy","MS",25,19.2631
"Language","Nova Academy Austin","L1",25,55.8815
"Language","Nova Academy Austin","L2",25,22.3684
"Language","Nova Academy Austin","LL",25,31.6315
"Language","Nova Academy Austin","MS",25,30.8684
"Language","Nova Academy Bastrop","L1",25,30.035
"Language","Nova Academy Bastrop","L2",25,31.8158
"Language","Nova Academy Bastrop","LL",25,34.3158
"Language","Nova Academy Bastrop","MS",25,20.4386
"Language","Strata","HS",25,22.7286
"Language","Strata","L1",25,32.2631
"Language","Strata","L2",25,43.3281
"Language","Strata","MS",25,28.7356
"Language","Texas Sports Academy","L1",25,31.7819
"Language","Texas Sports Academy","L2",25,29.799
"Language","Texas Sports Academy","LL",25,50.0827
"Language","Texas Sports Academy","MS",25,13.621
"Language","Waypoint Academy","L1",25,31.2105
"Math","Alpha Anywhere Center","L1",25,40.6725
"Math","Alpha Anywhere Center","L2",25,25.0075
"Math","Alpha Anywhere Center","LL",25,29.6316
"Math","Alpha Anywhere Center","MS",25,59.2631
"Math","Alpha High School","HS",25,41.4548
"Math","Alpha School Austin","L1",25,32.0894
"Math","Alpha School Austin","L2",25,25.517
"Math","Alpha School Austin","LL",25,27.5348
"Math","Alpha School Austin","MS",25,31.3343
"Math","Alpha School Austin","WL",25,38.4412
"Math","Alpha School Brownsville","L1",25,27.583
"Math","Alpha School Brownsville","L2",25,27.0075
"Math","Alpha School Brownsville","LL",25,30.1184
"Math","Alpha School Brownsville","MS",25,25.5731
"Math","Alpha School Brownsville","WL",25,38.0351
"Math","Alpha School Chantilly","L1",25,32.6315
"Math","Alpha School Chantilly","MS",25,13.0526
"Math","Alpha School Fort Worth","L1",25,63.7895
"Math","Alpha School Fort Worth","L2",25,42.6842
"Math","Alpha School Fort Worth","LL",25,45.0394
"Math","Alpha School Fort Worth","MS",25,25.8596
"Math","Alpha School Lake Forest","L1",25,39.7543
"Math","Alpha School Lake Forest","L2",25,43.1052
"Math","Alpha School Lake Forest","LL",25,23.7368
"Math","Alpha School Miami","HS",25,64.5087
"Math","Alpha School Miami","L1",25,30.4493
"Math","Alpha School Miami","L2",25,34.967
"Math","Alpha School Miami","LL",25,31.1644
"Math","Alpha School Miami","MS",25,30.8245
"Math","Alpha School Palm Beach","L1",25,37.5
"Math","Alpha School Palm Beach","L2",25,33.6842
"Math","Alpha School Palm Beach","LL",25,47.1579
"Math","Alpha School Plano","L1",25,53.9474
"Math","Alpha School Plano","L2",25,78.0526
"Math","Alpha School Plano","LL",25,46.193
"Math","Alpha School Plano","WL",25,28.0526
"Math","Alpha School San Francisco","HS",25,61
"Math","Alpha School San Francisco","L1",25,24.9684
"Math","Alpha School San Francisco","L2",25,30.7368
"Math","Alpha School San Francisco","LL",25,41.2842
"Math","Alpha School San Francisco","MS",25,35.8421
"Math","Alpha School Santa Barbara","HS",25,67.1579
"Math","Alpha School Santa Barbara","L2",25,41.9473
"Math","Alpha School Santa Barbara","MS",25,40.0977
"Math","Alpha School Scottsdale","L1",25,51.1754
"Math","Alpha School Scottsdale","L2",25,43.6032
"Math","Alpha School Scottsdale","LL",25,58.4736
"Math","Alpha School Scottsdale","MS",25,23.9561
"Math","GT School","HS",25,51.4737
"Math","GT School","L1",25,23.2481
"Math","GT School","L2",25,26.1929
"Math","GT School","LL",25,49.0921
"Math","GT School","MS",25,42.9298
"Math","Montessorium Cedar Park","L1",25,23.921
"Math","Montessorium Cedar Park","L2",25,34
"Math","Montessorium Cedar Park","LL",25,27.5052
"Math","Montessorium Cedar Park","MS",25,26.9474
"Math","NextGen Academy","L1",25,56.228
"Math","NextGen Academy","L2",25,29.2842
"Math","NextGen Academy","MS",25,19.7894
"Math","Nova Academy Austin","L1",25,35.6124
