"subject","campus[Alpha Roster for Cross Joins]","alphalevelshort","Daily Goal","# Meeting XP Goals","# Not Meeting XP Goals","% Meeting XP Goals"
"FastMath","Alpha Anywhere Center","L1",10,4,5,0.4444444444444444
"FastMath","Alpha Anywhere Center","L2",10,2,5,0.2857142857142857
"FastMath","Alpha Anywhere Center","LL",10,1,3,0.25
"FastMath","Alpha Anywhere Center","MS",10,1,1,0.5
"FastMath","Alpha High School","HS",10,0,5,0
"FastMath","Alpha School Austin","L1",10,15,11,0.5769230769230769
"FastMath","Alpha School Austin","L2",10,3,13,0.1875
"FastMath","Alpha School Austin","LL",10,4,27,0.12903225806451613
"FastMath","Alpha School Austin","MS",10,1,11,0.08333333333333333
"FastMath","Alpha School Austin","WL",10,3,9,0.25
"FastMath","Alpha School Brownsville","L1",10,6,7,0.46153846153846156
"FastMath","Alpha School Brownsville","L2",10,5,2,0.7142857142857143
"FastMath","Alpha School Brownsville","LL",10,6,6,0.5
"FastMath","Alpha School Brownsville","MS",10,1,4,0.2
"FastMath","Alpha School Brownsville","WL",10,1,2,0.3333333333333333
"FastMath","Alpha School Chantilly","L1",10,3,0,1
"FastMath","Alpha School Chantilly","MS",10,1,0,1
"FastMath","Alpha School Fort Worth","L1",10,1,0,1
"FastMath","Alpha School Fort Worth","L2",10,2,0,1
"FastMath","Alpha School Fort Worth","LL",10,2,2,0.5
"FastMath","Alpha School Lake Forest","L1",10,4,2,0.6666666666666666
"FastMath","Alpha School Lake Forest","L2",10,2,1,0.6666666666666666
"FastMath","Alpha School Lake Forest","LL",10,1,2,0.3333333333333333
"FastMath","Alpha School Miami","HS",10,0,2,0
"FastMath","Alpha School Miami","L1",10,8,5,0.6153846153846154
"FastMath","Alpha School Miami","L2",10,3,10,0.23076923076923078
"FastMath","Alpha School Miami","LL",10,6,2,0.75
"FastMath","Alpha School Miami","MS",10,3,10,0.23076923076923078
"FastMath","Alpha School Palm Beach","L1",10,1,1,0.5
"FastMath","Alpha School Palm Beach","L2",10,0,1,0
"FastMath","Alpha School Palm Beach","LL",10,2,1,0.6666666666666666
"FastMath","Alpha School Plano","L1",10,1,1,0.5
"FastMath","Alpha School Plano","L2",10,0,1,0
"FastMath","Alpha School Plano","LL",10,2,1,0.6666666666666666
"FastMath","Alpha School Plano","WL",10,0,1,0
"FastMath","Alpha School San Francisco","L1",10,1,3,0.25
"FastMath","Alpha School San Francisco","LL",10,4,0,1
"FastMath","Alpha School San Francisco","MS",10,0,3,0
"FastMath","Alpha School Santa Barbara","L2",10,2,1,0.6666666666666666
"FastMath","Alpha School Santa Barbara","MS",10,2,1,0.6666666666666666
"FastMath","Alpha School Scottsdale","L1",10,6,0,1
"FastMath","Alpha School Scottsdale","L2",10,9,3,0.75
"FastMath","Alpha School Scottsdale","LL",10,3,3,0.5
"FastMath","Alpha School Scottsdale","MS",10,3,1,0.75
"FastMath","Alpha School Tampa","LL",10,0,1,0
"FastMath","GT School","L1",10,4,3,0.5714285714285714
"FastMath","GT School","L2",10,1,2,0.3333333333333333
"FastMath","GT School","LL",10,3,1,0.75
"FastMath","GT School","MS",10,0,1,0
"FastMath","Montessorium Cedar Park","L1",10,3,3,0.5
"FastMath","Montessorium Cedar Park","L2",10,0,1,0
"FastMath","Montessorium Cedar Park","LL",10,1,8,0.1111111111111111
"FastMath","Montessorium Cedar Park","MS",10,0,1,0
"FastMath","NextGen Academy","L1",10,0,2,0
"FastMath","NextGen Academy","L2",10,1,3,0.25
"FastMath","Nova Academy Austin","L1",10,11,0,1
"FastMath","Nova Academy Austin","L2",10,1,1,0.5
"FastMath","Nova Academy Austin","LL",10,1,2,0.3333333333333333
"FastMath","Nova Academy Austin","MS",10,1,1,0.5
"FastMath","Nova Academy Bastrop","L1",10,2,4,0.3333333333333333
"FastMath","Nova Academy Bastrop","L2",10,1,2,0.3333333333333333
"FastMath","Nova Academy Bastrop","LL",10,0,2,0
"FastMath","Nova Academy Bastrop","MS",10,1,0,1
"FastMath","ScienceSIS","L1",10,1,15,0.0625
"FastMath","ScienceSIS","L2",10,1,16,0.058823529411764705
"FastMath","ScienceSIS","MS",10,0,5,0
"FastMath","Strata","HS",10,1,10,0.09090909090909091
"FastMath","Strata","L1",10,3,0,1
"FastMath","Strata","L2",10,9,6,0.6
"FastMath","Strata","MS",10,10,37,0.2127659574468085
"FastMath","Texas Sports Academy","L1",10,2,5,0.2857142857142857
"FastMath","Texas Sports Academy","L2",10,2,8,0.2
"FastMath","Texas Sports Academy","LL",10,4,3,0.5714285714285714
"FastMath","Texas Sports Academy","MS",10,1,4,0.2
"FastMath","Waypoint Academy","L1",10,0,1,0
"Language","Alpha Anywhere Center","L1",25,5,4,0.5555555555555556
"Language","Alpha Anywhere Center","L2",25,3,4,0.42857142857142855
"Language","Alpha Anywhere Center","LL",25,3,0,1
"Language","Alpha Anywhere Center","MS",25,5,2,0.7142857142857143
"Language","Alpha High School","HS",25,9,30,0.23076923076923078
"Language","Alpha School Austin","L1",25,19,10,0.6551724137931034
"Language","Alpha School Austin","L2",25,15,19,0.4411764705882353
"Language","Alpha School Austin","LL",25,25,4,0.8620689655172413
"Language","Alpha School Austin","MS",25,15,36,0.29411764705882354
"Language","Alpha School Austin","WL",25,0,5,0
"Language","Alpha School Brownsville","L1",25,7,5,0.5833333333333334
"Language","Alpha School Brownsville","L2",25,4,3,0.5714285714285714
"Language","Alpha School Brownsville","LL",25,10,2,0.8333333333333334
"Language","Alpha School Brownsville","MS",25,4,4,0.5
"Language","Alpha School Brownsville","WL",25,2,0,1
"Language","Alpha School Chantilly","L1",25,1,2,0.3333333333333333
"Language","Alpha School Chantilly","MS",25,0,1,0
"Language","Alpha School Fort Worth","L1",25,1,0,1
"Language","Alpha School Fort Worth","L2",25,1,1,0.5
"Language","Alpha School Fort Worth","LL",25,3,1,0.75
"Language","Alpha School Fort Worth","MS",25,2,0,1
"Language","Alpha School Lake Forest","L1",25,6,0,1
"Language","Alpha School Lake Forest","L2",25,2,1,0.6666666666666666
"Language","Alpha School Lake Forest","LL",25,2,1,0.6666666666666666
"Language","Alpha School Miami","HS",25,3,6,0.3333333333333333
"Language","Alpha School Miami","L1",25,10,3,0.7692307692307693
"Language","Alpha School Miami","L2",25,13,3,0.8125
"Language","Alpha School Miami","LL",25,8,0,1
"Language","Alpha School Miami","MS",25,11,10,0.5238095238095238
